Date,Description,Credit,Debit,Balance
31/12/2025,Interest Credit,0.09,,10151.60
30/11/2025,Interest Credit,0.24,,10151.51
26/11/2025,"Internal Transfer - Receipt 42845 - To Orange Everyday  ",,-600.00,10151.27
31/10/2025,Interest Credit,0.47,,10751.27
27/10/2025,"Internal Transfer - Receipt 247917 - To Orange Everyday  ",,-500.00,10750.80
30/09/2025,Interest Credit,0.46,,11250.80
31/08/2025,Interest Credit,0.48,,11250.34
31/07/2025,Bonus Interest Credit - Receipt 902948,53.17,,11249.86
31/07/2025,Interest Credit,0.54,,11196.69
10/07/2025,"Internal Transfer - Receipt 970617 - To Orange Everyday  ",,-5000.00,11196.15
30/06/2025,Interest Credit,0.58,,16196.15
26/06/2025,"Internal Transfer - Receipt 845942 - To Orange Everyday  ",,-2000.00,16195.57
17/06/2025,"Internal Transfer - Receipt 945198 - To Orange Everyday  ",,-1000.00,18195.57
16/06/2025,"Internal Transfer - Receipt 791131 - From Orange Everyday  ",8436.45,,19195.57
31/05/2025,Interest Credit,0.46,,10759.12
30/04/2025,Interest Credit,0.44,,10758.66
31/03/2025,Interest Credit,0.46,,10758.22
28/02/2025,Interest Credit,4.39,,10757.76
31/01/2025,Interest Credit,5.02,,10753.37
